,BoroughCensusArea,year,resource,adj_households_in_community,sqMiLand,sqMiWater,using,trying,harvesting,giving,receving,units_harvested,pounds_harvested,units_harvested_by_sample,lbs_harvested_percapita,lbs_harvested_by_sample,lbs_used_percapita,perc_contribution_to_harvest,relying_on_substinence,harv_mes_units,labor_force,employed,unemployed,unemployment_rate,median_age,n_families,median_family_income,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_total_population(ACS),p_people_below_poverty,p_households_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female,local_tax_burden,federal_tax_burden,Gini,AGI,median_family_income,median_family_income,pop_density,p_people_under_18_below_poverty,TotsqMi,log_AGI,log_pop_density,z_score_pop_density,centered_local_tax_burden,centered_federal_tax_burden,centered_unemployment_rate,centered_AGI,centered_pop_density,centered_log_AGI,centered_log_pop_density,trying_percent,local_tax_burden_percent,federal_tax_burden_percent
0,Aleutians East Borough,2016,Birds and Eggs,395.0,87.5,42.2,0.5673333333333334,0.41033333333333327,0.37233333333333335,0.20199999999999999,0.36166666666666664,5884.541564941411,5884.541564941411,3317.2969360351562,8.791138569513945,3317.2969360351562,14.18898773193362,0.03486192397152383,YES,lb.,2589.0,2523.0,66.0,2.5,42.8,499.0,6812.0,6812.0,788.0,1005.0,788.0,21.592039800995025,3299.0,15.459230069718096,7.868020304568528,33.919369505910886,66.08063049408912,19.09669596847529,7.0021218551076085,29.524098211579265,1.8587521663778164,0.0004669188028201,0.0170425363029368,0.4183494933294452,8706.0,6812.0,6812.0,25.435620663068622,2.18247953925432,129.7,9.071882578828616,3.274712368249264,-0.2484134870095354,-0.0009284164341848679,0.002407332144978626,-10.073553719008265,-61619.49586776859,-4643.819971945084,-0.11511380573133856,-2.433661962337105,41.033333333333324,0.04669188028201,1.7042536302936802
1,Aleutians East Borough,2016,Fish,395.0,87.5,42.2,0.9533333333333333,0.8343333333333334,0.8133333333333334,0.6789999999999999,0.719,258786.7021484375,258786.7021484375,138076.52685546875,215.80377705891934,138076.52685546875,226.37888590494765,0.7554900844891866,YES,lb.,2589.0,2523.0,66.0,2.5,42.8,499.0,6812.0,6812.0,788.0,1005.0,788.0,21.592039800995025,3299.0,15.459230069718096,7.868020304568528,33.919369505910886,66.08063049408912,19.09669596847529,7.0021218551076085,29.524098211579265,1.8587521663778164,0.0004669188028201,0.0170425363029368,0.4183494933294452,8706.0,6812.0,6812.0,25.435620663068622,2.18247953925432,129.7,9.071882578828616,3.274712368249264,-0.2484134870095354,-0.0009284164341848679,0.002407332144978626,-10.073553719008265,-61619.49586776859,-4643.819971945084,-0.11511380573133856,-2.433661962337105,83.43333333333334,0.04669188028201,1.7042536302936802
2,Aleutians East Borough,2016,Land Mammals,395.0,87.5,42.2,0.6276666666666667,0.338,0.18233333333333332,0.21033333333333334,0.5286666666666666,34156.08020019531,34156.08020019531,18423.5,31.00557772318523,18423.5,48.758438110351534,0.10960796227057777,YES,lb.,2589.0,2523.0,66.0,2.5,42.8,499.0,6812.0,6812.0,788.0,1005.0,788.0,21.592039800995025,3299.0,15.459230069718096,7.868020304568528,33.919369505910886,66.08063049408912,19.09669596847529,7.0021218551076085,29.524098211579265,1.8587521663778164,0.0004669188028201,0.0170425363029368,0.4183494933294452,8706.0,6812.0,6812.0,25.435620663068622,2.18247953925432,129.7,9.071882578828616,3.274712368249264,-0.2484134870095354,-0.0009284164341848679,0.002407332144978626,-10.073553719008265,-61619.49586776859,-4643.819971945084,-0.11511380573133856,-2.433661962337105,33.800000000000004,0.04669188028201,1.7042536302936802
3,Aleutians East Borough,2016,Marine Mammals,395.0,87.5,42.2,0.18533333333333335,0.06266666666666666,0.042333333333333334,0.056,0.14366666666666666,1808.8625526428248,1808.8625526428248,967.0,1.4239036838213595,967.0,7.465662797292073,0.0048582073456297,YES,lb.,2589.0,2523.0,66.0,2.5,42.8,499.0,6812.0,6812.0,788.0,1005.0,788.0,21.592039800995025,3299.0,15.459230069718096,7.868020304568528,33.919369505910886,66.08063049408912,19.09669596847529,7.0021218551076085,29.524098211579265,1.8587521663778164,0.0004669188028201,0.0170425363029368,0.4183494933294452,8706.0,6812.0,6812.0,25.435620663068622,2.18247953925432,129.7,9.071882578828616,3.274712368249264,-0.2484134870095354,-0.0009284164341848679,0.002407332144978626,-10.073553719008265,-61619.49586776859,-4643.819971945084,-0.11511380573133856,-2.433661962337105,6.266666666666667,0.04669188028201,1.7042536302936802
4,Aleutians East Borough,2016,Plants/Greens/Mushrooms,395.0,87.5,42.2,0.4206666666666667,0.38633333333333336,0.38633333333333336,0.12233333333333334,0.11533333333333333,785.5495872497563,785.5495872497563,411.137512207031,0.5425817320744196,411.137512207031,1.128077646096547,0.0017685040753955333,YES,lb.,2589.0,2523.0,66.0,2.5,42.8,499.0,6812.0,6812.0,788.0,1005.0,788.0,21.592039800995025,3299.0,15.459230069718096,7.868020304568528,33.919369505910886,66.08063049408912,19.09669596847529,7.0021218551076085,29.524098211579265,1.8587521663778164,0.0004669188028201,0.0170425363029368,0.4183494933294452,8706.0,6812.0,6812.0,25.435620663068622,2.18247953925432,129.7,9.071882578828616,3.274712368249264,-0.2484134870095354,-0.0009284164341848679,0.002407332144978626,-10.073553719008265,-61619.49586776859,-4643.819971945084,-0.11511380573133856,-2.433661962337105,38.63333333333333,0.04669188028201,1.7042536302936802
5,Bethel Census Area,2012,Birds and Eggs,1645.0,43.8,5.1,0.624,0.453,0.429,0.311,0.393,54475.6015625,54475.6015625,12245.099609375,9.60299110412598,15325.5,15.3779850006104,0.0580000020563602,NO,lb.,7193.0,6074.0,1119.0,15.6,26.1,3194.0,4368.0,4368.0,4307.0,5907.0,4307.0,27.086507533434904,17184.0,21.39199255121043,14.02368237752496,81.65153631284916,18.34846368715084,11.679469273743017,0.2851489757914339,1.0533054003724394,1.085183836912996,0.0017568517217146,0.0147040850621772,0.5520701620540783,0.0,4368.0,4368.0,351.41104294478527,9.986033519553072,48.9,0.0,5.864798229963744,-0.23097596966010855,0.0003615164847096321,6.888090421902464e-05,3.0264462809917347,-70325.4958677686,-4317.844549663367,-9.186996384559954,0.15642389937737455,45.300000000000004,0.17568517217146,1.47040850621772
6,Bethel Census Area,2012,Fish,1645.0,43.8,5.1,0.931,0.672,0.655,0.528,0.803,563935.125,563935.125,36267.30078125,99.4107284545898,158666.5,106.74055480957,0.600000023841858,NO,lb.,7193.0,6074.0,1119.0,15.6,26.1,3194.0,4368.0,4368.0,4307.0,5907.0,4307.0,27.086507533434904,17184.0,21.39199255121043,14.02368237752496,81.65153631284916,18.34846368715084,11.679469273743017,0.2851489757914339,1.0533054003724394,1.085183836912996,0.0017568517217146,0.0147040850621772,0.5520701620540783,0.0,4368.0,4368.0,351.41104294478527,9.986033519553072,48.9,0.0,5.864798229963744,-0.23097596966010855,0.0003615164847096321,6.888090421902464e-05,3.0264462809917347,-70325.4958677686,-4317.844549663367,-9.186996384559954,0.15642389937737455,67.2,0.17568517217146,1.47040850621772
7,Bethel Census Area,2012,Land Mammals,1645.0,43.8,5.1,0.807,0.414,0.3,0.339,0.7,251514.703125,251514.703125,1376.0,44.3371200561523,71249.796875,54.9497261047363,0.267000019550324,NO,lb.,7193.0,6074.0,1119.0,15.6,26.1,3194.0,4368.0,4368.0,4307.0,5907.0,4307.0,27.086507533434904,17184.0,21.39199255121043,14.02368237752496,81.65153631284916,18.34846368715084,11.679469273743017,0.2851489757914339,1.0533054003724394,1.085183836912996,0.0017568517217146,0.0147040850621772,0.5520701620540783,0.0,4368.0,4368.0,351.41104294478527,9.986033519553072,48.9,0.0,5.864798229963744,-0.23097596966010855,0.0003615164847096321,6.888090421902464e-05,3.0264462809917347,-70325.4958677686,-4317.844549663367,-9.186996384559954,0.15642389937737455,41.4,0.17568517217146,1.47040850621772
8,Bethel Census Area,2012,Marine Mammals,1645.0,43.8,5.1,0.448,0.049,0.039,0.116,0.442,20410.69921875,20410.69921875,53.0,3.59800863265991,5782.0,8.02235412597656,0.0219999998807907,NO,lb.,7193.0,6074.0,1119.0,15.6,26.1,3194.0,4368.0,4368.0,4307.0,5907.0,4307.0,27.086507533434904,17184.0,21.39199255121043,14.02368237752496,81.65153631284916,18.34846368715084,11.679469273743017,0.2851489757914339,1.0533054003724394,1.085183836912996,0.0017568517217146,0.0147040850621772,0.5520701620540783,0.0,4368.0,4368.0,351.41104294478527,9.986033519553072,48.9,0.0,5.864798229963744,-0.23097596966010855,0.0003615164847096321,6.888090421902464e-05,3.0264462809917347,-70325.4958677686,-4317.844549663367,-9.186996384559954,0.15642389937737455,4.9,0.17568517217146,1.47040850621772
9,Bethel Census Area,2012,Plants/Greens/Mushrooms,1645.0,43.8,5.1,0.446,0.393,0.382,0.148,0.206,6111.2001953125,6111.2001953125,1644.0,1.07728719711304,1720.5,2.41353750228882,0.006000000052154,NO,lb.,7193.0,6074.0,1119.0,15.6,26.1,3194.0,4368.0,4368.0,4307.0,5907.0,4307.0,27.086507533434904,17184.0,21.39199255121043,14.02368237752496,81.65153631284916,18.34846368715084,11.679469273743017,0.2851489757914339,1.0533054003724394,1.085183836912996,0.0017568517217146,0.0147040850621772,0.5520701620540783,0.0,4368.0,4368.0,351.41104294478527,9.986033519553072,48.9,0.0,5.864798229963744,-0.23097596966010855,0.0003615164847096321,6.888090421902464e-05,3.0264462809917347,-70325.4958677686,-4317.844549663367,-9.186996384559954,0.15642389937737455,39.300000000000004,0.17568517217146,1.47040850621772
